Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
404.06,60.898,67.612,51.763,75.137,74.284
404.09,52.628,62.312,51.713,68.237,71.784
404.12,60.638,70.012,49.263,73.537,74.384
404.14,53.318,65.312,51.963,75.437,74.684
404.17,61.558,66.812,52.263,77.637,73.084
404.2,48.338,59.312,45.213,60.837,64.484
404.23,69.948,80.012,65.213,85.637,91.784
404.25,51.338,57.912,48.263,69.637,68.884
404.28,58.558,65.912,50.913,78.837,77.884
404.31,53.308,58.112,45.863,65.137,67.084
404.33,58.968,66.712,51.263,71.937,70.384
404.36,49.258,58.912,49.163,68.537,62.184
404.39,60.948,68.812,52.063,73.137,74.184
404.42,49.998,57.412,47.413,61.937,67.484
404.44,63.478,72.512,52.763,76.237,80.484
404.47,51.938,58.812,50.863,71.037,66.084
404.5,68.938,77.912,67.713,87.337,86.184
404.53,50.148,62.112,48.463,66.037,67.984
404.55,57.198,73.412,51.663,72.837,74.284
404.58,53.288,55.912,46.113,64.437,66.984
404.61,59.918,67.112,47.863,72.237,74.984
404.64,48.248,55.812,45.913,64.937,69.584
404.66,63.518,72.312,54.163,74.737,77.084
404.69,55.598,67.012,49.163,70.137,73.484
404.72,74.468,85.812,70.013,97.337,94.184
404.75,58.408,59.612,49.063,69.637,75.784
404.77,57.738,61.812,51.313,70.737,79.884
404.8,68.848,84.412,67.612,83.837,91.484
404.83,65.898,74.412,52.713,76.337,75.084
404.85,59.168,59.812,47.263,67.337,71.984
404.88,60.728,65.512,53.563,73.737,70.784
404.91,53.968,63.612,49.613,68.637,70.284
404.94,62.898,72.112,53.063,75.437,81.884
404.96,52.068,55.512,45.013,66.037,69.084
404.99,62.628,68.812,54.263,80.537,80.284
405.02,58.038,70.812,50.813,69.337,72.884
405.05,62.948,74.112,55.263,80.637,81.284
405.07,56.178,63.312,51.863,75.237,75.684
405.1,60.508,63.612,52.963,73.937,73.884
405.13,52.918,57.312,49.563,68.337,73.484
405.15,61.948,73.112,51.663,78.337,76.784
405.18,62.798,72.512,61.863,79.237,81.784
405.21,61.458,71.112,51.863,82.337,75.584
405.24,51.318,58.512,49.713,62.037,70.484
405.26,61.818,70.512,48.813,74.637,81.884
405.29,60.768,66.412,56.563,78.237,80.684
405.32,62.088,66.112,50.763,74.137,78.784
405.35,56.938,64.212,53.963,76.637,72.684
405.37,60.128,70.512,54.413,68.737,73.784
405.4,52.828,54.712,48.263,60.637,68.284
405.43,65.278,74.912,56.913,82.637,85.884
405.45,51.858,62.912,48.513,69.137,68.884
405.48,62.928,69.812,50.913,77.437,80.484
405.51,51.818,58.112,51.363,70.437,70.584
405.54,69.258,79.412,63.663,85.037,90.884
405.56,51.328,59.712,45.713,67.237,70.084
405.59,63.208,73.712,55.213,79.837,79.384
405.62,52.308,61.612,50.013,60.237,65.984
405.65,58.748,76.712,53.413,69.137,76.384
405.67,53.578,62.012,51.863,68.437,70.784
405.7,59.278,66.912,49.713,75.937,69.584
405.73,51.898,60.912,47.163,58.037,62.384
405.75,57.598,65.112,50.063,76.237,76.684
405.78,57.458,71.212,60.363,79.437,79.884
405.81,61.688,72.312,53.363,77.337,78.884
405.84,52.498,59.512,45.913,73.437,68.684
405.86,66.268,72.512,59.813,81.537,87.884
405.89,59.898,78.212,59.763,81.637,74.484
405.92,60.718,67.312,53.613,78.037,77.484
405.95,55.148,64.212,48.913,70.137,72.984
405.97,60.348,66.812,50.713,71.237,77.084
406,52.428,61.112,49.563,71.037,68.884
406.03,64.128,74.612,55.613,84.937,81.784
