Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
418.96,0.036081,0.11858,0.046624,0.042332,0.044153
418.98,0.032079,0.10216,0.040668,0.043138,0.038654
419.01,0.035674,0.10404,0.046452,0.046132,0.041516
419.04,0.031987,0.09634,0.040409,0.040951,0.038093
419.06,0.036178,0.1179,0.044639,0.040778,0.042077
419.09,0.033002,0.10421,0.046322,0.041929,0.043592
419.11,0.03389,0.10421,0.041963,0.042678,0.040057
419.14,0.03244,0.10592,0.042956,0.038878,0.037307
419.17,0.033053,0.10404,0.045891,0.041469,0.038878
419.19,0.030725,0.095998,0.03851,0.040375,0.039159
419.22,0.035599,0.11345,0.043042,0.046362,0.040618
419.24,0.033592,0.11003,0.041747,0.045556,0.040505
419.27,0.034848,0.10883,0.04438,0.042735,0.042189
419.3,0.035094,0.11824,0.050422,0.050046,0.04275
419.32,0.036493,0.10934,0.044768,0.043714,0.043985
419.35,0.030032,0.081798,0.039675,0.038648,0.033716
419.37,0.044085,0.14989,0.066219,0.057242,0.053748
419.4,0.030508,0.09326,0.037776,0.038706,0.038317
419.43,0.036946,0.11773,0.042524,0.046707,0.04275
419.45,0.029722,0.091721,0.039071,0.034791,0.03697
419.48,0.034653,0.11088,0.04438,0.042159,0.040954
419.5,0.036333,0.12063,0.049732,0.044347,0.045331
419.53,0.033913,0.10592,0.040841,0.042793,0.0455
419.56,0.029986,0.095313,0.040625,0.038936,0.039944
419.58,0.034842,0.10763,0.043646,0.046016,0.043031
419.61,0.029349,0.090181,0.036136,0.040375,0.037588
419.63,0.036901,0.11379,0.046495,0.042159,0.043592
419.66,0.028478,0.089668,0.03592,0.036173,0.035624
419.68,0.035737,0.098393,0.043733,0.045095,0.043704
419.71,0.030106,0.090181,0.036784,0.036288,0.038205
419.74,0.035547,0.10746,0.044337,0.04452,0.043199
419.76,0.031597,0.093945,0.041661,0.041066,0.03871
419.79,0.034928,0.10763,0.042092,0.043484,0.041684
419.81,0.032021,0.10301,0.044768,0.040893,0.038878
419.84,0.034676,0.11499,0.045632,0.042275,0.044433
419.87,0.029819,0.092576,0.038683,0.039684,0.040169
419.89,0.034349,0.10832,0.041057,0.04452,0.038822
419.92,0.030427,0.088812,0.036525,0.041469,0.036521
419.94,0.035037,0.10917,0.041747,0.045498,0.040281
419.97,0.030634,0.090181,0.03864,0.03836,0.040898
420,0.034762,0.11619,0.043819,0.04498,0.044265
420.02,0.029997,0.090523,0.039978,0.039339,0.040337
420.05,0.035651,0.10267,0.042912,0.044289,0.043704
420.07,0.030261,0.093089,0.039719,0.040778,0.038598
420.1,0.034825,0.10301,0.044121,0.042044,0.03871
420.12,0.029258,0.094458,0.041272,0.038072,0.036578
420.15,0.03381,0.10421,0.042395,0.041238,0.041123
420.18,0.030725,0.093945,0.041013,0.04003,0.037868
420.2,0.03514,0.109,0.044768,0.04521,0.041908
420.23,0.02967,0.090352,0.039632,0.036748,0.03669
420.25,0.03553,0.11311,0.043733,0.043944,0.041684
420.28,0.032486,0.1025,0.045071,0.042102,0.038485
420.31,0.042336,0.12885,0.05845,0.053212,0.04954
420.33,0.031838,0.099077,0.042524,0.040951,0.040113
420.36,0.035834,0.11345,0.046538,0.045153,0.04578
420.38,0.031419,0.10592,0.042783,0.040893,0.040898
420.41,0.042198,0.13278,0.056853,0.052176,0.050494
420.43,0.031809,0.10421,0.041359,0.038418,0.039103
420.46,0.037468,0.1208,0.047444,0.04734,0.045949
420.49,0.032772,0.098222,0.04343,0.040951,0.040898
420.51,0.038099,0.11054,0.051199,0.04665,0.047351
420.54,0.033684,0.10455,0.043733,0.044808,0.03899
420.56,0.037009,0.11584,0.044898,0.043771,0.04174
420.59,0.033724,0.10233,0.041272,0.047456,0.040337
420.62,0.037027,0.11396,0.044035,0.044117,0.046902
420.64,0.035605,0.11875,0.052753,0.048837,0.047744
420.67,0.036631,0.11122,0.044768,0.045153,0.045051
420.69,0.033403,0.10284,0.040884,0.041526,0.039103
420.72,0.038437,0.1143,0.047617,0.046592,0.045051
420.74,0.031694,0.098222,0.039589,0.041699,0.035624
420.77,0.036929,0.11567,0.045934,0.045441,0.043592
420.8,0.032113,0.10541,0.040798,0.042332,0.040449
420.82,0.038133,0.11516,0.047229,0.050967,0.043648
420.85,0.032222,0.097709,0.039373,0.042562,0.03899
420.87,0.039045,0.12662,0.049602,0.04878,0.043704
420.9,0.034177,0.10592,0.041143,0.043368,0.039383
420.93,0.036964,0.10968,0.0452,0.044117,0.043536
420.95,0.038569,0.12577,0.053703,0.050622,0.048025
420.98,0.037187,0.11122,0.043733,0.046995,0.043367
421,0.032732,0.10113,0.041316,0.038821,0.037868
421.03,0.037669,0.11157,0.048049,0.048664,0.045107
421.05,0.031666,0.092918,0.042395,0.04285,0.039215
421.08,0.039985,0.12354,0.050638,0.052291,0.047969
421.11,0.032755,0.10267,0.039675,0.041757,0.038261
421.13,0.037623,0.10575,0.048135,0.04688,0.044377
421.16,0.032015,0.098735,0.041747,0.043944,0.039552
421.18,0.03643,0.11499,0.046452,0.047974,0.043592
421.21,0.03119,0.097537,0.039848,0.039684,0.038429
421.23,0.036648,0.11174,0.043517,0.042908,0.046341
421.26,0.033202,0.0948,0.040668,0.040202,0.041684
421.29,0.037319,0.11755,0.046279,0.045383,0.042526
421.31,0.032566,0.10147,0.04425,0.041757,0.040281
421.34,0.038724,0.1232,0.045675,0.047283,0.044995
421.36,0.039297,0.11584,0.052624,0.048089,0.046678
421.39,0.037531,0.11191,0.046711,0.044462,0.046173
421.41,0.032692,0.10233,0.041661,0.041872,0.039271
421.44,0.037497,0.11653,0.048049,0.047513,0.043087
421.46,0.031563,0.092918,0.042395,0.040145,0.03871
421.49,0.036591,0.10797,0.043603,0.045383,0.044939
421.52,0.033059,0.098222,0.043171,0.043138,0.038878
421.54,0.036797,0.10814,0.046495,0.047225,0.045612
421.57,0.033202,0.10455,0.045373,0.042678,0.041572
421.59,0.039171,0.11738,0.051804,0.047859,0.04881
421.62,0.032543,0.10404,0.044984,0.041526,0.038822
421.64,0.03627,0.10746,0.043905,0.042102,0.043199
421.67,0.032841,0.095313,0.044164,0.041757,0.046229
421.7,0.038712,0.1102,0.049214,0.046707,0.044995
421.72,0.032377,0.097537,0.041747,0.041814,0.03972
421.75,0.043058,0.13774,0.058796,0.056724,0.055039
421.77,0.03256,0.095998,0.043387,0.042965,0.039944
421.8,0.036895,0.10968,0.044639,0.045095,0.044939
421.82,0.030823,0.09155,0.040193,0.042965,0.038373
421.85,0.035742,0.10472,0.04274,0.04285,0.046285
421.88,0.028753,0.086417,0.03851,0.038303,0.039383
